Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
,,,,,,,,,,,,,,,,,
3/4/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,MI,48328,,Consent not provided,Web,3/4/2017,Closed with explanation,Yes,No,2371574
9/25/2014,Debt collection,Non-federal student loan,Communication tactics,Threatened to take legal action,,,"EXPERT GLOBAL SOLUTIONS, INC.",MD,20814,,N/A,Web,9/29/2014,Closed with explanation,Yes,Yes,1044243
,,,,,,,,,,,,,,,,,
7/8/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,BTH Management,OH,43110,,Consent not provided,Web,7/23/2016,Closed with non-monetary relief,No,No,2004023
1/8/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",CA,92240,,N/A,Web,1/8/2014,Closed with non-monetary relief,Yes,No,658791
4/17/2015,Credit reporting,,Incorrect information on credit report,Public record,,,"EQUIFAX, INC.",NJ,8344,,Consent not provided,Web,4/17/2015,Closed with explanation,Yes,Yes,1335771
3/31/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30281,,N/A,Referral,4/4/2016,Closed with explanation,Yes,No,1859379
3/1/2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,,,AES/PHEAA,,,,N/A,Referral,3/8/2017,Closed with explanation,Yes,No,2367674
,,,,,,,,,,,,,,,,,
1/27/2016,Credit reporting,,Incorrect information on credit report,Public record,Equifax is refusing to remove the CH XXXX bankruptcy from my credit file. I filed back in XXXX XXXX so the public record should have been removed on XXXX XXXX. I called them last week and I was told that they would not remove it and would stay on my file until XXXX XXXX.,,"EQUIFAX, INC.",TX,786XX,,Consent provided,Web,1/27/2016,Closed with explanation,Yes,Yes,1761051
8/18/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,33521,,N/A,Referral,8/22/2016,Closed with explanation,Yes,No,2070214
11/9/2012,Credit card,,Billing statement,,,,"CITIBANK, N.A.",TX,75039,Older American,N/A,Web,11/13/2012,Closed with non-monetary relief,Yes,No,188625
11/6/2012,Credit card,,Closing/Cancelling account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,95073,,N/A,Fax,11/8/2012,Closed with explanation,Yes,No,185270
,,,,,,,,,,,,,,,,,
10/25/2012,Credit reporting,,Incorrect information on credit report,Account status,,,Experian Information Solutions Inc.,NH,3038,,N/A,Web,10/26/2012,Closed with explanation,Yes,No,178248
12/14/2013,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,,,TD BANK US HOLDING COMPANY,CA,92262,Older American,N/A,Web,12/19/2013,Closed with explanation,Yes,No,633913
6/11/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,FL,33607,,N/A,Web,6/12/2013,Closed with explanation,Yes,No,429204
7/6/2012,Mortgage,Second mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,OH,44240,,N/A,Postal mail,7/10/2012,Closed with explanation,Yes,No,113185
,,,,,,,,,,,,,,,,,
7/3/2014,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,CAPITAL ONE FINANCIAL CORPORATION,UT,84003,,N/A,Web,7/3/2014,Closed with explanation,Yes,Yes,922989
4/5/2016,Consumer Loan,Installment loan,Problems when you are unable to pay,,,,KEYCORP,IL,60130,,Consent not provided,Web,4/6/2016,Closed with explanation,Yes,No,1862223
1/31/2017,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,TD BANK US HOLDING COMPANY,TX,79703,Older American,Other,Web,2/3/2017,Closed with explanation,Yes,No,2320485
,,,,,,,,,,,,,,,,,
1/11/2012,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NC,27539,,N/A,Web,1/11/2012,Closed without relief,Yes,Yes,12560
1/4/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,FL,33559,,N/A,Postal mail,1/4/2013,Closed with explanation,Yes,No,221870
4/20/2017,Bank account or service,Checking account,Deposits and withdrawals,,,Company believes it acted appropriately as authorized by contract or law,SCHOOLSFIRST FEDERAL CREDIT UNION,CA,92694,,Consent not provided,Web,4/20/2017,Closed with explanation,Yes,No,2444609
9/22/2014,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,WELLS FARGO & COMPANY,GA,30339,,N/A,Web,9/22/2014,Closed with explanation,Yes,No,1038445
12/3/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,FL,33035,,N/A,Web,12/3/2014,Closed with explanation,Yes,Yes,1140857
6/17/2016,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,No matter what web site I use they can not pull a credit report or score for me.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,287XX,,Consent provided,Web,6/17/2016,Closed with explanation,Yes,No,1973971
4/15/2017,Credit card,,Billing disputes,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,TX,77407,,Consent not provided,Web,4/15/2017,Closed with explanation,Yes,No,2436789
12/3/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian Information Solutions Inc.,CA,94608,,N/A,Web,12/3/2013,Closed with non-monetary relief,Yes,No,618768
10/24/2012,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,38863,Servicemember,N/A,Phone,10/26/2012,Closed with explanation,Yes,No,177768
,,,,,,,,,,,,,,,,,
6/20/2012,Credit card,,Other fee,,,,"CITIBANK, N.A.",FL,33708,,N/A,Web,6/21/2012,Closed with explanation,Yes,No,104898
8/26/2016,Mortgage,VA mortgage,"Application, originator, mortgage broker",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MD,21222,Older American,N/A,Phone,8/30/2016,Closed with explanation,Yes,No,2083486
6/12/2013,Credit card,,APR or interest rate,,,,"CITIBANK, N.A.",FL,33311,Older American,N/A,Postal mail,6/12/2013,Closed with non-monetary relief,Yes,No,430067
11/10/2016,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMORGAN CHASE & CO.,IN,468XX,,Other,Web,11/10/2016,Closed with explanation,Yes,No,2203242
8/31/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,TN,37813,,N/A,Referral,9/5/2015,Closed with explanation,Yes,Yes,1544307
11/4/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,OH,44233,,N/A,Phone,11/5/2014,Closed with explanation,Yes,No,1101368
,,,,,,,,,,,,,,,,,
2/14/2014,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,"CITIBANK, N.A.",NV,89084,Servicemember,N/A,Phone,3/3/2014,Closed with explanation,Yes,No,715519
2/3/2014,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,BB&T CORPORATION,TX,77386,,N/A,Web,2/3/2014,Closed with explanation,Yes,No,698329
3/12/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",TX,77450,,N/A,Web,3/12/2014,Closed with non-monetary relief,Yes,No,762868
,,,,,,,,,,,,,,,,,
3/31/2014,Debt collection,I do not know,Improper contact or sharing of info,Talked to a third party about my debt,,,"Navient Solutions, LLC.",OH,43213,,N/A,Phone,4/4/2014,Closed with explanation,Yes,No,786319
6/20/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,"TIAA, FSB",NC,27406,,N/A,Web,6/21/2013,Closed with monetary relief,Yes,No,438978
11/8/2016,Credit card,,Advertising and marketing,,,,AMERICAN EXPRESS COMPANY,FL,33185,,Consent not provided,Web,11/8/2016,Closed with explanation,Yes,No,2199465
10/26/2016,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CORELOGIC INC,NY,12804,,Consent not provided,Web,10/28/2016,Closed with explanation,Yes,No,2180509
11/22/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,U.S. BANCORP,CO,80214,,N/A,Web,11/26/2013,Closed with explanation,Yes,Yes,610210
,,,,,,,,,,,,,,,,,
1/22/2016,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"In XXXX XXXX my wife and I applied through the Michigan Hardest Hit for assistance with our mortgage due to a reduction in income and layoffs and XXXX XXXX the Michigan Step Forward program approved us for a pay down off {$24000.00} on our principle mortgage balance. At the same time we applied with Select Portfolio Services our mortgage company to refinance the balance of our mortgage to reduce the rate and payment. We sent all our current tax returns, paystubs, bank statements, paid property taxes, proof of insurance and a written letter from my wife 's employer and was told bu Select Portfolio they would not accept the pay stubs and letter because they were hand written, we were also told that they would not accept my wife 's XXXX as verification of employment. My wife has worked for the same company for over 6 years and has kept her stubs until she receives her XXXX and we file our taxes. All we want to do is refinance our mortgage to lower the rate and payments.",Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",,,,Consent provided,Web,1/22/2016,Closed with explanation,Yes,No,1753643
,,,,,,,,,,,,,,,,,
12/19/2016,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,JPMORGAN CHASE & CO.,IN,46219,,N/A,Phone,12/19/2016,Closed with explanation,Yes,No,2255894
7/4/2016,Credit card,,Billing disputes,,"My wife used her Bank of America ( BOA ) credit card to book a hotel room in XXXX. She was half way there and had to return due to bad weather ( snow ). When she returned the hotel was ok with cancelling the reservation and understood. The hotel could not do anything since it was booked thru XXXX. My wife called XXXX and explained the situation. They told her she had to have permission from the hotel. She said she did and went in circles with XXXX for some time. She even called back with both parties from XXXX and the hotel on the line with her at the same time. XXXX still refused to remove the charge and wanted to charge us in full. We filed a complaint with BOA and they held the charge for investigation, then sent us a letter saying it was resolved, then removed the charge. We thought we were done when we saw the charge appear again several months later. BOA said we were accidently credited twice. We pulled our statements and got back to them to say that they were incorrect. They agreed and said that the charge would be removed. We then got a letter from BOA saying that they were going to proceed with the charges from XXXX. My wife spent at least 6 hours total on the phone with all parties to get this resolved, but had no luck. Complete lack of customer service by all parties. We will be getting rid of our BOA credit card ( after having it for about 16 years ) and will certainly never use XXXX again.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,490XX,,Consent provided,Web,7/5/2016,Closed with explanation,Yes,Yes,1996876
,,,,,,,,,,,,,,,,,
4/12/2017,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,JPMORGAN CHASE & CO.,CA,91913,,N/A,Referral,4/13/2017,Closed with monetary relief,Yes,No,2432049
3/7/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",NJ,7111,,N/A,Phone,3/7/2017,Closed with explanation,Yes,No,2374511
9/7/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,CO,80260,Older American,Consent not provided,Web,9/8/2015,Closed with explanation,Yes,Yes,1554172
5/9/2017,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,,JPMORGAN CHASE & CO.,FL,33634,,N/A,Postal mail,5/10/2017,Closed with explanation,Yes,N/A,2481034
3/31/2017,Other financial service,Money order,Lost or stolen money order,,"I bought a money order from XXXX XXXX to pay a bill. When I found out that the payment had not been credited, I traced the money order and found out it had been stolen and cashed, and that the thief had changed the name of the payor and the payee. I filed a police report and completed all the paperwork XXXX XXXX asked for in order to get the money order replaced. Then XXXX XXXX sent me a letter saying they had filed a claim on my behalf with the Bank of First Deposit ( Bank of America ) and that Bank of America had not responded, so XXXX XXXX was closing their investigation and that I should contact Bank of America. I contacted Bank of America, but they said it had nothing to do with them and that I had to go back to XXXX XXXX. When I did, XXXX XXXX told me I had to go to Bank of America.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,100XX,,Consent provided,Web,4/3/2017,Closed with explanation,Yes,No,2412744
2/15/2012,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,HSBC NORTH AMERICA HOLDINGS INC.,RI,2865,,N/A,Web,2/15/2012,Closed without relief,Yes,No,23619
4/19/2016,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",CA,93552,,Consent not provided,Web,4/19/2016,Closed with explanation,Yes,No,1887138
3/23/2016,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NJ,7711,,N/A,Postal mail,3/24/2016,Closed with explanation,Yes,No,1847127
7/21/2015,Credit reporting,,Incorrect information on credit report,Personal information,,,"EQUIFAX, INC.",NC,28025,,Consent not provided,Web,8/18/2015,Closed with explanation,Yes,No,1479640
1/9/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,GA,30062,Older American,N/A,Fax,1/10/2014,Closed with explanation,Yes,No,660565
10/14/2015,Bank account or service,Checking account,Deposits and withdrawals,,"I was scammed by a person offering work as a private driver, the person sent me a check for my name, I deposited in my account and the next day was the money in my checking account. I withdraw the cash the next day having deposited the check, and made a cash deposit money gram. 6 days after I check my bank account and I get $ XXXX. I check and he says the check was returned. I went to the bank to see what has happened and the only thing they told me is that the check was fake. The problem is that my bank charge me a fake check which they should have checked before giving money, because if the bank checks before the check is false and sees none of this would have happened.I help me see that I can do with the bank. What steps to take. Since I made the police report and I nummero report. Prompt response and hope to have the urgency I run out of money. Thank you.",,JPMORGAN CHASE & CO.,FL,331XX,,Consent provided,Web,10/14/2015,Closed with explanation,Yes,No,1606755
,,,,,,,,,,,,,,,,,
5/6/2014,Credit reporting,,Incorrect information on credit report,Public record,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,35824,,N/A,Web,5/6/2014,Closed with non-monetary relief,Yes,No,840376
7/10/2016,Credit card,,Identity theft / Fraud / Embezzlement,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,OK,73013,,Consent not provided,Web,7/10/2016,Closed with explanation,Yes,Yes,2005306
,,,,,,,,,,,,,,,,,
2/4/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,NC,10467,,N/A,Phone,2/7/2014,Closed with explanation,Yes,No,698321
2/12/2016,Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,"The company that called is revsolve inc.. The number is XXXX.. They have been harassing my personal cell number which is a do not call number. Secondly both the Representative and supervisor would not acknowledge that it was a debt collector, or.explain what there company but give me there company name.XXXX they were trying to obtain the debt. I spoke to them many times, to have my number removed from their call list. The person they 're asking for, which they gave me their information, does not have this number. I 'm not aware of all the laws, but I 'm pretty sure if you 're trying to collect a debt you have to be notified of that. Secondly I 'm assuming it 's not good practice to have a debt collector call your personal cell phone. I hope this gets resolved, and I hope the FTC or some other government agency can look into their bad practices. Thank you",,"RevSolve, Inc.",NM,871XX,Servicemember,Consent provided,Web,2/17/2016,Closed with explanation,Yes,No,1785210
,,,,,,,,,,,,,,,,,
5/4/2017,Debt collection,Auto debt,False statements or representation,Attempted to collect wrong amount,,,AMERICAN HONDA FINANCE CORP,PA,18343,,Consent not provided,Web,5/4/2017,Closed with explanation,Yes,N/A,2475107
7/13/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,WELLS FARGO & COMPANY,NJ,7757,,N/A,Referral,7/17/2015,Closed with non-monetary relief,Yes,No,1466679
8/1/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,WELLS FARGO & COMPANY,,,,N/A,Phone,8/5/2013,Closed with explanation,Yes,Yes,472040
1/15/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,"CITIBANK, N.A.",CT,6511,,N/A,Referral,1/19/2016,Closed with explanation,Yes,No,1744185
9/11/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",DE,19803,,N/A,Referral,9/16/2014,Closed with explanation,Yes,Yes,1025453
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2/24/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,PNC Bank N.A.,OH,43062,,N/A,Referral,3/3/2014,Closed with explanation,Yes,Yes,727760
4/23/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,MI,48074,,N/A,Web,4/24/2013,Closed with explanation,Yes,No,388711
1/20/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,"MB FINANCIAL, INC.",IL,60457,,Consent not provided,Web,1/20/2017,Closed with monetary relief,Yes,No,2299773
,,,,,,,,,,,,,,,,,
11/1/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,CA,90746,,N/A,Web,11/14/2013,Closed,Yes,No,581810
11/16/2016,Credit reporting,,Incorrect information on credit report,Personal information,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,19153,,N/A,Postal mail,11/17/2016,Closed with explanation,Yes,No,2211219
6/12/2014,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,"CITIZENS FINANCIAL GROUP, INC.",MA,2190,,N/A,Postal mail,6/16/2014,Closed with explanation,Yes,No,892199
3/14/2017,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AZ,85383,,Consent not provided,Web,3/14/2017,Closed with non-monetary relief,Yes,No,2385607
7/13/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,WELLS FARGO & COMPANY,CA,95833,,N/A,Referral,7/22/2012,Closed with explanation,Yes,No,116428
2/14/2017,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"HCFS Health Care Financial Services, Inc.",FL,33161,,Consent not provided,Web,2/14/2017,Closed with explanation,Yes,No,2344291
,,,,,,,,,,,,,,,,,
10/15/2014,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,"SUNTRUST BANKS, INC.",NJ,7871,Older American,N/A,Web,10/15/2014,Closed with explanation,Yes,No,1071044
4/3/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,IL,60073,Servicemember,N/A,Phone,4/4/2013,Closed with explanation,Yes,No,373536
3/13/2015,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,UNITED SERVICES AUTOMOBILE ASSOCIATION,VA,20155,Servicemember,N/A,Web,3/13/2015,Closed with non-monetary relief,Yes,No,1282787
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3/26/2015,Credit card,,Billing disputes,,,Company chooses not to provide a public response,BARCLAYS BANK DELAWARE,CA,91748,,Consent not provided,Web,3/31/2015,Closed with monetary relief,Yes,No,1302078
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3/11/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",VA,22042,,N/A,Phone,3/12/2013,Closed with explanation,Yes,No,349754
8/22/2014,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,PENTAGON FEDERAL CREDIT UNION,NV,89129,,N/A,Web,8/22/2014,Closed with explanation,Yes,Yes,997239
3/30/2017,Credit reporting,,Incorrect information on credit report,Public record,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,63033,,Consent not provided,Web,3/30/2017,Closed with explanation,Yes,No,2411158
10/26/2016,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FREEDOM MORTGAGE COMPANY,TX,76087,,Consent not provided,Web,10/26/2016,Closed with explanation,Yes,Yes,2180917
,,,,,,,,,,,,,,,,,
8/18/2016,Credit reporting,,Incorrect information on credit report,Personal information,,,"MIB Group, Inc.",TN,37091,,Consent not provided,Web,8/18/2016,Closed with explanation,Yes,No,2069590
9/20/2013,Credit card,,Balance transfer,,,,JPMORGAN CHASE & CO.,OK,74467,Older American,N/A,Web,9/23/2013,Closed with explanation,Yes,Yes,537734
,,,,,,,,,,,,,,,,,
10/5/2015,Credit card,,Customer service / Customer relations,,,,FIFTH THIRD FINANCIAL CORPORATION,OH,45229,,N/A,Referral,10/7/2015,Closed with explanation,Yes,No,1593727
12/30/2011,Credit card,,Closing/Cancelling account,,,,BARCLAYS BANK DELAWARE,WA,98816,,N/A,Web,1/3/2012,Closed with relief,Yes,No,8908
3/31/2015,Bank account or service,Checking account,"Account opening, closing, or management",,"US BANK made a cash bonus offer via e-mail for switching to US Bank checking. The letter said if I open an account with them by XXXX XXXX 2014, I will get a cash bonus of {$200.00}. I had satisfied all the criteria including making a direct deposit arrangement for this account and opened an account online using the offer code XXXX. But it has been more than 7 months and I have not received my cash offer. Moreover, US Bank just this month closed my account because they are intellectually incapable of serving me as a customer. I do not bank with them anymore anyway but I want my cash bonus offer of {$200.00} paid to me.",Company chooses not to provide a public response,U.S. BANCORP,AZ,852XX,,Consent provided,Web,4/3/2015,Closed with explanation,Yes,Yes,1307984
4/17/2017,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",TN,38134,,N/A,Referral,4/18/2017,Closed with explanation,Yes,No,2437746
,,,,,,,,,,,,,,,,,
9/6/2016,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,REGIONS FINANCIAL CORPORATION,AL,36912,,Consent not provided,Web,9/9/2016,Closed with monetary relief,Yes,No,2097165
2/26/2014,Debt collection,Medical,Communication tactics,Threatened to take legal action,,,Physicians & Dentists Credit Bureau,WA,98375,,N/A,Web,2/26/2014,Closed with explanation,Yes,No,732841
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5/24/2014,Credit reporting,,Incorrect information on credit report,Account status,,,Experian Information Solutions Inc.,MD,20878,,N/A,Web,5/24/2014,Closed with non-monetary relief,Yes,No,867565
3/31/2017,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,"CIT BANK, NATIONAL ASSOCIATION",WA,98041,,N/A,Referral,4/8/2017,Closed with explanation,Yes,No,2412808
6/1/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92562,,N/A,Referral,6/4/2013,Closed with non-monetary relief,Yes,Yes,421704
12/27/2013,Debt collection,Payday loan,Communication tactics,Frequent or repeated calls,,,SECURITY FINANCE CORP,WI,54703,,N/A,Web,12/27/2013,Closed with explanation,Yes,No,647312
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3/28/2017,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,I was on XXXX from my employer. It has a 2 year time period in which they examine your case every 6 months then at the 2 year mark if they find you still XXXX it is for life. I was found to be XXXX until the second year mark according to my XXXX insurance. I am appealing this and probably have a malpractice suit with my primary doctor. I have had no income since XXXX XXXX. I also have a hearing with a judge on XXXX XXXX to see if I qualify for federal XXXX. I am doing some XXXX work when I feel like it for my brother and he is paying me a little.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IN,471XX,,Consent provided,Web,3/29/2017,Closed with explanation,Yes,No,2406891
,,,,,,,,,,,,,,,,,
4/5/2017,Credit card,,Identity theft / Fraud / Embezzlement,,"My business debit cards were stolen from my mail box, my bank had sent my debit cards with ( factory pins ) to my business address, I had no knowledge of this until the day the transactions happened. ( I had no knowledge of this because i still did n't have access to my mailbox, i was waiting for the landlord to give me the key for the mailbox ). I contacted my bank as soon as possible and reported the incident but i was asked to wait until the transactions posted. I had also requested that all the cards linked to my account to be cancelled immediately but the representative failed to do one of them so more transaction posted the next day.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,958XX,,Consent provided,Web,4/5/2017,Closed with monetary relief,Yes,No,2420310
11/13/2014,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,"SUNTRUST BANKS, INC.",MD,20901,Older American,N/A,Phone,11/19/2014,Closed with explanation,Yes,No,1114002
1/10/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,WELLS FARGO & COMPANY,FL,34691,,N/A,Referral,1/11/2013,Closed with explanation,Yes,Yes,227490
5/21/2014,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,,"CITIBANK, N.A.",DC,20037,,N/A,Web,5/21/2014,Closed with explanation,Yes,No,862902
4/14/2017,Mortgage,FHA mortgage,Credit decision / Underwriting,,,Company believes it acted appropriately as authorized by contract or law,Informative Research,UT,84770,,Consent not provided,Web,4/17/2017,Closed with explanation,Yes,No,2435375
2/18/2016,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company chooses not to provide a public response,U.S. BANCORP,CA,93536,,Consent not provided,Web,2/18/2016,Closed with non-monetary relief,Yes,No,1792341
9/18/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,TD BANK US HOLDING COMPANY,FL,34746,,N/A,Referral,9/19/2013,Closed with monetary relief,Yes,No,533146
9/21/2012,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"TIAA, FSB",MO,64011,,N/A,Web,9/24/2012,Closed with explanation,Yes,Yes,157625
10/23/2014,Bank account or service,Checking account,Problems caused by my funds being low,,,,"SUNTRUST BANKS, INC.",GA,30094,,N/A,Web,10/28/2014,Closed with non-monetary relief,Yes,No,1083865
8/23/2016,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,BBVA COMPASS FINANCIAL CORPORATION,TX,75756,,N/A,Referral,8/25/2016,Closed with explanation,Yes,Yes,2075186
,,,,,,,,,,,,,,,,,
2/14/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,94122,,N/A,Postal mail,2/14/2017,Closed with explanation,Yes,No,2343051
8/14/2014,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,,,"Gurstel Law Firm, P.C.",MN,55369,,N/A,Web,8/19/2014,Closed with explanation,Yes,No,985343
5/14/2014,Credit reporting,,Incorrect information on credit report,Personal information,,,Experian Information Solutions Inc.,MA,2120,,N/A,Web,5/16/2014,Closed with explanation,Yes,No,852032
